"New_genes","N","group"
2.1832698436828,2,"1"
1.99343623049761,2.17609125905568,"1"
1.77815125038364,2.30102999566398,"1"
1.68124123737559,2.39794000867204,"1"
1.60205999132796,2.47712125471966,"1"
1.44715803134222,2.54406804435028,"1"
1.42324587393681,2.60205999132796,"1"
1.26717172840301,2.65321251377534,"1"
1.27875360095283,2.69897000433602,"1"
1.17609125905568,2.74036268949424,"1"
1.14612803567824,2.77815125038364,"1"
0.954242509439325,2.81291335664286,"1"
1.68124123737559,1,"2"
1.96378782734556,1.17609125905568,"2"
1.48429983934679,1.30102999566398,"2"
1.77085201164214,1.39794000867204,"2"
1.64836001098093,1.47712125471966,"2"
1.51851393987789,1.54406804435028,"2"
1.87794695162919,1.60205999132796,"2"
0.929418925714293,1.65321251377534,"2"
0.477121254719662,1.69897000433602,"2"
1.36172783601759,1.55630250076729,"3"
1.27875360095283,1.6232492903979,"3"
1.36172783601759,1.68124123737559,"3"
1.14612803567824,1.73239375982297,"3"
1.36172783601759,1.77815125038364,"3"
1.25527250510331,1.81954393554187,"3"
1.17609125905568,1.85733249643127,"3"
1.13033376849501,1.89209460269048,"3"
1.02118929906994,1.92427928606188,"3"
0.903089986991944,1.95424250943932,"3"
1.11394335230684,1.98227123303957,"3"
1.14612803567824,2.00860017176192,"3"
1.04139268515822,2.03342375548695,"3"
0.903089986991944,2.05690485133647,"3"
0.698970004336019,2.07918124604762,"3"
0.954242509439325,2.10037054511756,"3"
0.301029995663981,2.12057393120585,"3"
