"mrca_group","geo_group","pair_count","total","prob","ref_prob","RR","RR_lower","RR_upper","bg_color","point_shape","is_missing"
"0-10 y","local",169,175,0.965714285714286,0.0342857142857143,28.1666666666667,12.6,81,"#edf5e6",17,FALSE
"10-50 y","local",3158,4163,0.758587557050204,0.22219553206822,3.41405405405405,2.43641076505092,4.86042020373514,"#edf5e6",17,FALSE
"50-100 y","local",283,1294,0.21870170015456,0.425038639876352,0.514545454545455,0.27117761299435,0.896637931034483,"#edf5e6",17,FALSE
">100 y","local",10091,87056,0.115913894504687,0.161689027752251,0.716894003978403,0.294117647058824,1.7,"#edf5e6",17,FALSE
"0-10 y","regional",6,175,0.0342857142857143,0.0342857142857143,1,1,1,"#e6e4e3",0,FALSE
"10-50 y","regional",925,4163,0.22219553206822,0.22219553206822,1,1,1,"#e6e4e3",0,FALSE
"50-100 y","regional",550,1294,0.425038639876352,0.425038639876352,1,1,1,"#e6e4e3",0,FALSE
">100 y","regional",14076,87056,0.161689027752251,0.161689027752251,1,1,1,"#e6e4e3",0,FALSE
"0-10 y","national",NA,NA,NA,NA,0.003,NA,NA,"#d2d1eb",2,TRUE
"10-50 y","national",76,4163,0.018256065337497,0.22219553206822,0.0821621621621622,0.0338972016242938,0.152842912702822,"#d2d1eb",17,FALSE
"50-100 y","national",253,1294,0.195517774343122,0.425038639876352,0.46,0.137125416204218,1.00069444444444,"#d2d1eb",17,FALSE
">100 y","national",53276,87056,0.611973901856276,0.161689027752251,3.78488206876954,2.24975,7.875,"#d2d1eb",17,FALSE
"0-10 y","continental",NA,NA,NA,NA,0.003,NA,NA,"#d2d1eb",2,TRUE
"10-50 y","continental",4,4163,0.000960845544078789,0.22219553206822,0.00432432432432432,0.00222222222222222,0.0108408448214917,"#d2d1eb",17,FALSE
"50-100 y","continental",208,1294,0.160741885625966,0.425038639876352,0.378181818181818,0.0850620567375887,0.833333333333333,"#d2d1eb",17,FALSE
">100 y","continental",9613,87056,0.110423175886786,0.161689027752251,0.682935493037795,0.266578947368421,1.7,"#d2d1eb",17,FALSE
